#,class,pos,height,weight,hometown,rsci top 100,summary,school,year,high school,Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,slug
21.0,SR,G,6-4,200,"Elk Grove, CA",18 (2004),"14.5 Pts, 5.8 Reb, 2.9 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
12.0,FR,F,6-8,230,"Medford, OR",6 (2007),"13.3 Pts, 5.8 Reb, 1.4 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
15.0,SO,G,6-5,215,"Merion, PA",10 (2006),"12.7 Pts, 4.7 Reb, 1.6 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
30.0,SO,G,6-5,190,"Northbrook, IL",28 (2006),"11.7 Pts, 3.9 Reb, 2.4 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
3.0,JR,G,6-1,185,"Syracuse, NY",13 (2005),"11.4 Pts, 2.1 Reb, 3.2 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
2.0,FR,G,6-2,185,"Upper Marlboro, MD",18 (2007),"5.9 Pts, 1.5 Reb, 1.3 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
31.0,FR,F,6-6,230,"Huntington Beach, CA",27 (2007),"5.5 Pts, 2.0 Reb, 0.4 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
42.0,SO,F,6-9,225,"Scotch Plains, NJ",20 (2006),"4.3 Pts, 3.3 Reb, 0.3 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
55.0,SO,C,7-1,260,"Haddonfield, NJ",25 (2006),"3.8 Pts, 3.4 Reb, 0.5 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
14.0,JR,F,6-6,215,"Ridgefield, CT",71 (2004),"1.0 Pts, 1.9 Reb, 0.4 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
5.0,JR,G,6-5,190,,53 (2005),"4.0 Pts, 2.3 Reb, 1.0 Ast",duke,2008,,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
